Type,Type_Rowe,Reference,Authors,Year,Title,Journal,Issue,Number,Start,End,Extra,Link_Abstract,Link_PDF,Citations on G Scholar,Abstract_text,Keywords
Critical,Understanding,"Arnott, D., & Pervan, G. (2005). A critical analysis of decision support systems research. Journal of Information Technology, 20(2), 67–87.","Arnott, D., & Pervan, G. ",2005, A critical analysis of decision support systems research,Journal of Information Technology,20,2,67,87,,,https://espace.curtin.edu.au/bitstream/handle/20.500.11937/3681/20246_downloaded_stream_234.pdf?sequence=2,,"This  paper  critically  analyses  the  nature  and  state  of  decision  support  systems  (DSS)  research.  To  provide  context  for  the  analysis,  a  history  of  DSS  is  presented  which  focuses  on  the  evolution  of  a  number  of  sub-groupings  of  research  and  practice:  personal  decision  support  systems,  group  support  systems,  negotiation  support  systems,  intelligent  decision  support  systems,  knowledge  management-based DSS, executive information systems/ business intelligence, and data warehousing. To understand the  state  of  DSS  research  an  empirical  investigation  of  published  DSS  research  is  presented.  This  investigation  is  based  on  the  detailed  analysis  of  1,020  DSS  articles  published  in  14  major  journals  from 1990 to 2003. The analysis found that DSS publication has been falling steadily since its peak in 1994  and  the  current  publication  rate  is  at  early  1990s  levels.    Other  findings  include  that  personal  DSS and group support systems dominate research activity and data warehousing is the least published type  of  DSS.  The  journal  DSS  is  the  major  publishing  outlet;  US  ‘Other’  journals  dominate  DSS  publishing  and  there  is  very  low  exposure  of  DSS  in  European  journals.  Around  two-thirds  of  DSS  research  is  empirical,  a  much  higher  proportion  than  general  IS  research.  DSS  empirical  research  is overwhelming  positivist,  and  is  more  dominated  by  positivism  than  IS  research  in  general.  Design  science  is  a  major  DSS  research  category.  The  decision  support  focus  of  the  sample  shows  a  well-balanced mix of development, technology, process, and outcome studies. Almost half of DSS papers did  not  use  judgement  and  decision-making  reference  research  in  the  design  and  analysis  of  their  projects and most cited reference works are relatively old. A major omission in DSS scholarship is the poor  identification  of  the  clients  and  users  of  the  various  DSS  applications  that  are  the  focus  of  investigation. The analysis of the professional or practical contribution of DSS research shows a field that is facing a crisis of relevance. Using the history and empirical study as a foundation, a number of strategies for improving DSS research are suggested.  ",
Critical,Understanding,"Avgerou, C. (2008). Information systems in developing countries: A critical research review. Journal of Information Technology, 23(3), 133–146.","Avgerou, C. ",2008, Information systems in developing countries: A critical research review,Journal of Information Technology,23,3,133,146,,,https://link.springer.com/content/pdf/10.1057%2Fpalgrave.jit.2000136.pdf,,"In this paper I review the Information Systems (IS) research on how developing countries have attempted to benefit from information and communication technologies (ICTs). First I identify three discourses on IS implementation and associated organizational and social change that coexist in information systems in developing countries (ISDC) research, namely as a process of technology and knowledge transfer and adaptation to local social conditions; as a process of socially embedded action; and as a process of transformative techno-organizational intervention associated with global politics and economics. I then point out the distinctive research agenda that has been formed in ISDC studies, both in the more familiar IS themes – failure, outsourcing, and strategic value of ICT – and also in studies of themes relevant specifically to the context of developing countries, such as the development of community ICT and information resources. Finally, I call the reader's attention to the potentially significant theoretical contributions of ISDC research for understanding IS innovation in relation to social context and in relation to socio-economic development theories and policies. ",
Critical,Understanding,"Bagozzi, R. P. (2007). The legacy of the technology acceptance model and a proposal for a paradigm shift. Journal of the Association for Information Systems, 8(4), 244–254. ","Bagozzi, R. P. ",2007, The legacy of the technology acceptance model and a proposal for a paradigm shift,Journal of the Association for Information Systems,8,4,244,254,,,https://www.researchgate.net/profile/Richard_Bagozzi/publication/220580454_The_Legacy_of_the_Technology_Acceptance_Model_and_a_Proposal_for_a_Paradigm_Shift/links/57c6c52708ae9d64047e03f2.pdf,,"This article presents a critique of a number of shortcomings with the technology acceptance model (TAM) and points to specific remedies in each case. In addition, I present a model for the purposes of providing a foundation for a paradigm shift. The model consists first of a decision making core (goal desire → goal intention → action desire → action intention) that is grounded in basic decision making variables/processes of a universal nature. The decision core also contains a mechanism for self-regulation that moderates the effects of desires on intentions. Second, added to the decision making core are a number of causes and effects of decisions and self-regulatory reasoning, with the aim of introducing potential contingent, contextual nuances for understanding decision making. Many of the causal variables here are contained within TAM or its extensions; also considered are new variables grounded in emotional, group/social/cultural, and goal-directed behavior research.",
Critical,Understanding,"Balijepally, V., Mangalaraj, G., & Iyengar, K. (2011). Are we wielding this hammer correctly? A reflective review of the application of cluster analysis in information systems research. Journal of the Association for Information Systems, 12(5), 375–413. ","Balijepally, V., Mangalaraj, G., & Iyengar, K. ",2011, Are we wielding this hammer correctly? A reflective review of the application of cluster analysis in information systems research,Journal of the Association for Information Systems,12,5,375,413,,,https://pdfs.semanticscholar.org/be9d/eecef5567409a2ed08fbe1ff482ad84acd2e.pdf,,"Cluster analysis is a powerful statistical procedure for extricating natural configurations among the data and the populations. Cluster analysis, with its seemingly limitless power to produce groupings in any dataset, has all the trappings  of  a  super-technique.  However,  the  method  produces  clusters  even  in  the  absence  of  any  natural  structure in the data, and has no statistical basis to reject the null hypothesis that there are no natural groupings in the data. Application of cluster analysis, therefore, presupposes sound researcher judgment and responsible analysis  and  reporting.  This  paper  summarizes  the  results  of  a  reflective  review  of  the  application  of  cluster  analysis  in  Information  Systems  (IS)  research  published  in  major  IS  outlets.  Based  on  the  analysis  of  55  IS  applications  of  cluster  analysis,  various  deficiencies  noticed  in  its  use  are  discussed  along  with  suggestions  for  future  practice.  By  analyzing  the  results  over  two  time  periods,  longitudinal  trends  in  the  application  of  this  technique are highlighted.  ",
Critical,Understanding,"Bélanger, F., & Crossler, R. E. (2011). Privacy in the digital age: A review of information privacy research in information systems. MIS Quarterly, 35(4), 1017–1041. ","Bélanger, F., & Crossler, R. E. ",2011, Privacy in the digital age: A review of information privacy research in information systems,MIS Quarterly,35,4,1017,1041,,,https://www.researchgate.net/profile/Traci_Carte/publication/268513879_Multilevel_Research_in_Information_Systems_Concepts_Strategies_Problems_and_Pitfalls/links/5565e1c308aeccd777359a29/Multilevel-Research-in-Information-Systems-Concepts-Strategies-Problems-and-Pitfalls.pdf,,"Information systems (IS) researchers often explore complex phenomena that result from the interplay between technologies  and  human  actors;  as  such,  IS  research  frequently  involves  constructs  found  at  multiple  levels  ofanalysis,  although  rarely  recognized  as  such.    In  fact,  our  targeted  review  of  the  IS  literature  found  minimal  explicit  consideration  of  the  issues  posed  by  multilevel  research  although  a  number  of  studies  implicitly  conducted  research  at  multiple  levels.In  this  paper,  we  discuss  the  issues  that  result  from  not  explicitly  recognizing  the  multilevel  nature  of  one’s  work  and  offer  guidance  on  how  to  identify  and  explicitly  conduct  multilevel  IS  research.    Recognizing  the  relevance  of  multilevel  research  for  the  IS  domain,  we  discuss  a  systematic  approach  to  conduct  quantitative  multilevel  IS  research  that  is  grounded  in  an  overarching  framework  that  focuses  equally  on  testing  variables  and  entities.  We  also  highlight  the  unique  role  of  IS  in  developing multilevel opportunities for researchers.  Finally, we identify a number of gaps within the IS literature in  which  specific  multilevel  research  questions  may  be  articulated.  Such  explicit  consideration  of  multilevel  issues  in  future  IS  research  will  not  only  improve  IS  research  but  contribute  to  the  larger  discourse  on  multilevel  research.",
Critical,Understanding,"Bélanger, F., Cefaratti, M., Carte, T., & Markham, S. E. (2014). Multilevel research in information systems: Concepts, strategies, problems, and pitfalls. Journal of the Association for Information Systems, 15(9), 614–650. ","Bélanger, F., Cefaratti, M., Carte, T., & Markham, S. E. ",2014," Multilevel research in information systems: Concepts, strategies, problems, and pitfalls",Journal of the Association for Information Systems,15,9,614,650,,,https://vtechworks.lib.vt.edu/bitstream/handle/10919/81984/BelangerPrivacy2011.pdf?sequence=1,,"Information  privacy  refers  to  the  desire  of  individuals  to  control  or  have  some  influence  over  data  aboutthemselves.    Advances  in  information  technology  have  raised  concerns  about  information  privacy  and  itsimpacts, and have motivated Information Systems researchers to explore information privacy issues, includingtechnical solutions to address these concerns.  In this paper, we inform researchers about the current state ofinformation privacy research in IS through a critical analysis of the IS literature that considers informationprivacy as a key construct.  The review of the literature reveals that information privacy is a multilevel concept,but rarely studied as such.  We also find that information privacy research has been heavily reliant on student-based and USA-centric samples, which results in findings of limited generalizability.  Information privacyresearch focuses on explaining and predicting theoretical contributions, with few studies in journal articlesfocusing on design and action contributions.  We recommend that future research should consider differentlevels  of  analysis  as  well  as  multilevel  effects  of  information  privacy.    We  illustrate  this  with  a  multilevelframework for information privacy concerns.  We call for research on information privacy to use a broaderdiversity of sampling populations, and for more design and action information privacy research to be publishedin journal articles that can result in IT artifacts for protection or control of information privacy.",
Critical,Understanding,"Compeau, D., Marcolin, B., Kelley, H., & Higgins, C. (2012). Research commentary – Generalizability of information systems research using student subjects – A reflection on our practices and recommendations for future research. Information Systems Research, 23(4), 1093–1109. ","Compeau, D., Marcolin, B., Kelley, H., & Higgins, C. ",2012, Research commentary – Generalizability of information systems research using student subjects – A reflection on our practices and recommendations for future research,Information Systems Research,23,4,1093,1109,,https://pubsonline.informs.org/doi/abs/10.1287/isre.1120.0423,,,"Information systems researchers, like those in many other disciplines in the social sciences, have debated the value and appropriateness of using students as research subjects. This debate appears in several articles that have been published on the subject as well as in the review process. In this latter arena, however, the debate has become increasingly like a script—the actors (authors and reviewers) simply read their parts of the script; some avoid the underlying issues whereas others cursorily address generalizability without real consideration of those issues. As a result, despite the extent of debate, we seem no closer to a resolution. Authors who use student subjects rely on their scripted arguments to justify the use of student subjects and do not always consider whether those arguments are valid. But reviewers who oppose the use of student subjects are equally culpable. They, too, rely on scripted arguments to criticize work using student subjects, and do not always consider whether those arguments are salient to the particular study. By presenting and reviewing one version of this script in the context of theoretical discussions of generalizability, we hope to demonstrate its limitations so that we can move beyond these scripted arguments into a more meaningful discussion. To do this, we review empirical studies from the period 1990–2010 to examine the extent to which student subjects are being used in the field and to critically assess the discussions within the field about the use of student samples. We conclude by presenting recommendations for authors and reviewers, for determining whether the use of students is appropriate in a particular context, and for presenting and discussing work that uses student subjects.",
Critical,Understanding,"Cordella, A. (2006). Transaction costs and information systems: Does IT add up? Journal of Information Technology, 21(3), 195–202.","Cordella, A. ",2006, Transaction costs and information systems: Does IT add up? ,Journal of Information Technology,21,3,195,202,,,https://www.researchgate.net/profile/Antonio_Cordella/publication/304637027_Transaction_Costs_and_Information_Systems_Does_IT_Add_Up/links/58889bf2a6fdcc6b7920bb33/Transaction-Costs-and-Information-Systems-Does-IT-Add-Up.pdf,,"Transaction cost theory has often been used to support the use of information and communication technology (ICT) to reduce imperfection in the economic system. Electronic markets and hierarchies have repeatedly been described as solutions to inefficiencies in the organisation of transactions in complex and uncertain settings. Far from criticising this assumption, this paper highlights the limits associated with this application of transaction cost theory that has been prevalent in IS research. Building on the concepts first proposed by Ciborra, the paper argues that information-related problems represent only some of the elements contributing to transaction costs. These costs also emerge due to the interdependencies among the various factors contributing to their growth. The study of the consequences associated with ICT design and implementation, grounded in transaction cost theory, should consider the overall implication associated with the adoption and use of ICT and not only the direct effect on problems associated with information flow, distribution, and management.",
Critical,Understanding,"D’arcy, J., & Herath, T. (2011). A review and analysis of deterrence theory in the IS security literature: Making sense of the disparate findings. European Journal of Information Systems, 20(6), 643–658. ","D’arcy, J., & Herath, T. ",2011, A review and analysis of deterrence theory in the IS security literature: Making sense of the disparate findings,European Journal of Information Systems,20,6,643,658,,,http://130.18.86.27/faculty/warkentin/BIS9613papers/DArcy/D'ArcyHerath2011_EJIS20_DeterrenceTheoryReviewed.pdf,,"Deterrence theory is one of the most widely applied theories in informationsystems (IS) security research, particularly within behavioral IS security studies.Based on the rational choice view of human behavior, the theory predicts thatillicit behavior can be controlled by the threat of sanctions that are certain,severe, and swift. IS scholars have used deterrence theory to predict userbehaviors that are either supportive or disruptive of IS security, and other ISsecurity-related outcome variables. A review of this literature suggests anuneven and often contradictory picture regarding the influence of sanctionsand deterrence theory in general in the IS security context. In this paper,we set out to make sense of the discrepant findings in the IS deterrenceliterature by drawing upon the more mature body of deterrence literature thatspans multiple disciplines. In doing so, we speculate that a set of contingencyvariables and methodological and theoretical issues can shed light on theinconsistent findings and inform future research in this area. The review andanalysis presented in this paper facilitates a deeper understanding of deterrencetheory in the IS security domain, which can assist in cumulative theory-buildingefforts and advance security management strategies rooted in deterrenceprinciples",
Critical,Understanding,"Evermann, J. (2005). Towards a cognitive foundation for knowledge representation. Information Systems Journal, 15(2), 147–178.","Evermann, J. ",2005, Towards a cognitive foundation for knowledge representation,Information Systems Journal,15,2,147,178,,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.467.7832&rep=rep1&type=pdf,,"Knowledge engineering, knowledge management and conceptual mod-elling are concerned with representing knowledge of  business and organizationaldomains.  These  research  areas  use  ontologies  for  knowledge  representation. Ontologies are understood either in the philosophical sense as firm metaphysicalcommitments or in the looser sense of  dictionaries or taxonomies.This  paper  critically  examines  the  understanding  and  use  of   ontologies  andknowledge  representation  languages  in  information  systems  (IS)  research  andapplication.  As  ontologies  are  intended  to  be  conceptualizations  of   a  perceivedreality, they should reflect the empirically observed reality. This motivates propos-ing psychology of  language as a reference discipline for knowledge engineeringand knowledge management. Natural language is argued to reflect the cognitiveconcepts we use to think about and perceive the world around us. These cognitiveconcepts are the relevant terms with which to structure and represent knowledgeabout the world. Psychology of  language can provide empirical justification for a particular set ofconcepts to represent knowledge. This paper draws on psycho-linguistic researchto develop a proposal for a system of  cognitive structures. This is argued to providethe relevant concepts on which to found knowledge representation schemata forknowledge engineering, knowledge management and conceptual modelling.",
